tweet_id,user_name,date,content,language,reply_count,retweet_count,like_count,hashtags
1496034885085310977,BijuBiswash,2022-02-22T08:11:26+00:00,"Targetted Killings of Hindus must Stop.
#JusticeForHarsha https://t.co/UriRv0jJY6
#भगवामय_यूपी
#BravePmModi
#कमल_खिलेगा_जोरों_से BB",en,0,0,0,"['JusticeForHarsha', 'भगवामय_यूपी', 'BravePmModi', 'कमल_खिलेगा_जोरों_से']"
1491114717875965952,bijubiswash3940,2022-02-08T18:20:26+00:00,"#JaiShriRam
This is new India ...mughals and Jaychands are not tolerable...jai shree ram https://t.co/OYajpSWdtx
#BJP4UP 
#BravePmModi
#भाजपा_है_तो_भरोसा_है
जय शनिदेवः",en,0,1,1,"['JaiShriRam', 'BJP4UP', 'BravePmModi', 'भाजपा_है_तो_भरोसा_है']"
1491026429936828416,bijubiswash3940,2022-02-08T12:29:37+00:00,"Not only me but entire U.P saying that #योगी_आएंगे_मथुरा_सजाएंगे
https://t.co/gXDrt94tFV
#BravePmModi
#BJPAgain
#भगवामय_यूपी
जय माँ गंगे",en,0,0,0,"['योगी_आएंगे_मथुरा_सजाएंगे', 'BravePmModi', 'BJPAgain', 'भगवामय_यूपी']"
1489211479706390528,BjpS05904761,2022-02-03T12:17:39+00:00,"सभी राष्ट्रवादी मिलकर ट्रेंड की शुरुआत करते है 🚩

#BravePmModi",hi,0,3,1,['BravePmModi']
1488811703059894273,bijubiswash3940,2022-02-02T09:49:05+00:00,"Pride of India.

 #GharGharBJP https://t.co/KwpAwJZc1L
#BJPAgain. #BravePmModi
#भाजपा_है_तो_भरोसा_है
BB",en,0,3,2,"['GharGharBJP', 'BJPAgain', 'BravePmModi', 'भाजपा_है_तो_भरोसा_है']"
1488538232786665473,prakash06852232,2022-02-01T15:42:25+00:00,@annamalai_k @narendramodi #bravepmmodi https://t.co/1gVQ9RLbAs,und,0,0,1,['bravepmmodi']
1487109312564834305,BijuBiswash,2022-01-28T17:04:23+00:00,"I am proud to be a #योगी_के_डिजिटल_योद्धा .

Write ✍️ #कमल_खिलेगा_जोरों_से https://t.co/4N0ptEzcRb
#BJPAgain
#भगवामय_यूपी
#भाजपा_है_तो_भरोसा_है
#ArrestCoachingMafia 
#BravePmModi
जय गजानन",und,0,6,6,"['योगी_के_डिजिटल_योद्धा', 'कमल_खिलेगा_जोरों_से', 'BJPAgain', 'भगवामय_यूपी', 'भाजपा_है_तो_भरोसा_है', 'ArrestCoachingMafia', 'BravePmModi']"
1487078218326687747,BijuBiswash,2022-01-28T15:00:50+00:00,"The monk who fights against inequality..
The monk who fights against inequity..
The monk who fights against injustice..
@myogiadityanath #BJPAgain https://t.co/CivlmUsPdc
#ArrestCoachingMafia 
#BravePmModi
#भाजपा_है_तो_भरोसा_है
#विश्व_विभूति_मोदीजी
#Bring_Uniform_Civil_Code
BB",en,0,1,2,"['BJPAgain', 'ArrestCoachingMafia', 'BravePmModi', 'भाजपा_है_तो_भरोसा_है', 'विश्व_विभूति_मोदीजी', 'Bring_Uniform_Civil_Code']"
1487025495120093184,BijuBiswash,2022-01-28T11:31:20+00:00,"We're support
@pushkardhami
#ModiDhamiSarkar https://t.co/w3UPgbLXXX
#BravePmModi
जय भगवान बुद्ध",und,0,2,2,"['ModiDhamiSarkar', 'BravePmModi']"
1486996467286155267,BijuBiswash,2022-01-28T09:35:59+00:00,"Khan sir SCAM with the country, being responsible for Destroying Govt property.
#ArrestCoachingMafia https://t.co/Q3OhoIG7q0
#BravePmModi
#khan_sir_mafia 
जय हिन्द",und,0,1,0,"['ArrestCoachingMafia', 'BravePmModi', 'khan_sir_mafia']"
