tweet_id,user_name,date,content,language,reply_count,retweet_count,like_count,hashtags
1222879653666254849,ShariqSamrat,2020-01-30T13:50:04+00:00,"#Jamia
#JamiaProtest #Jamia #JamiaProtestsCAB #RavishKumar #bbcnews #NDTV #aljazeera #SOSJamia #Delhi 
#JamiaProtest 
#JamiaMilia 
#JamiaProtestsCAA
#IndiaAgainstCAA_NRC
#werejectnrc
#werejectcab
#indiaagainstcaa
#indiarejectsnrc
#indiarejectscaa
#assamprotest
#jamia
#amu https://t.co/DPig3FgPxw",und,0,0,0,"['Jamia', 'JamiaProtest', 'Jamia', 'JamiaProtestsCAB', 'RavishKumar', 'bbcnews', 'NDTV', 'aljazeera', 'SOSJamia', 'Delhi', 'JamiaProtest', 'JamiaMilia', 'JamiaProtestsCAA', 'IndiaAgainstCAA_NRC', 'werejectnrc', 'werejectcab', 'indiaagainstcaa', 'indiarejectsnrc', 'indiarejectscaa', 'assamprotest', 'jamia', 'amu']"
1222870330944843779,ShariqSamrat,2020-01-30T13:13:01+00:00,"#JamiaProtest #Jamia #JamiaProtestsCAB #RavishKumar #bbcnews #NDTV #aljazeera #SOSJamia #Delhi 
#JamiaProtest 
#JamiaMilia 
#JamiaProtestsCAA
#IndiaAgainstCAA_NRC
#werejectnrc
#werejectcab
#indiaagainstcaa
#indiarejectsnrc
#indiarejectscaa
#assamprotest
#jamia
#amu
#nrcprotes https://t.co/cJDKszTbZi",und,0,0,0,"['JamiaProtest', 'Jamia', 'JamiaProtestsCAB', 'RavishKumar', 'bbcnews', 'NDTV', 'aljazeera', 'SOSJamia', 'Delhi', 'JamiaProtest', 'JamiaMilia', 'JamiaProtestsCAA', 'IndiaAgainstCAA_NRC', 'werejectnrc', 'werejectcab', 'indiaagainstcaa', 'indiarejectsnrc', 'indiarejectscaa', 'assamprotest', 'jamia', 'amu', 'nrcprotes']"
1222870233112694784,ShariqSamrat,2020-01-30T13:12:38+00:00,"#JamiaProtest #Jamia #JamiaProtestsCAB #RavishKumar #bbcnews #NDTV #aljazeera #SOSJamia #Delhi 
#JamiaProtest 
#JamiaMilia 
#JamiaProtestsCAA
#IndiaAgainstCAA_NRC
#werejectnrc
#werejectcab
#indiaagainstcaa
#indiarejectsnrc
#indiarejectscaa
#assamprotest
#jamia
#amu
#nrcprotest https://t.co/1EyGbRbuaO",und,0,0,0,"['JamiaProtest', 'Jamia', 'JamiaProtestsCAB', 'RavishKumar', 'bbcnews', 'NDTV', 'aljazeera', 'SOSJamia', 'Delhi', 'JamiaProtest', 'JamiaMilia', 'JamiaProtestsCAA', 'IndiaAgainstCAA_NRC', 'werejectnrc', 'werejectcab', 'indiaagainstcaa', 'indiarejectsnrc', 'indiarejectscaa', 'assamprotest', 'jamia', 'amu', 'nrcprotest']"
1222865420174200839,osamazaidi4,2020-01-30T12:53:30+00:00,#ShaheenBaghProtest #JamiaMilia #Jamia #JamiaProtestsCAB https://t.co/cYcb5Gzb3X,und,0,0,0,"['ShaheenBaghProtest', 'JamiaMilia', 'Jamia', 'JamiaProtestsCAB']"
1222510391168774146,SaleemuddinSyed,2020-01-29T13:22:45+00:00,"#HyderabadMillionMarch
#Hyderabad 
#HyderabadMillionMarch #hyderabadagainstcaa 
#IndiaAgainstCAA_NPR_NRC 
#JNUUnderAttack 
#JNUProtests 
#jamiaprotestscab 
#amuprotest https://t.co/WjlxFjA4Ad",und,0,0,0,"['HyderabadMillionMarch', 'Hyderabad', 'HyderabadMillionMarch', 'hyderabadagainstcaa', 'IndiaAgainstCAA_NPR_NRC', 'JNUUnderAttack', 'JNUProtests', 'jamiaprotestscab', 'amuprotest']"
1222116598976090115,ShariqSamrat,2020-01-28T11:17:57+00:00,"#Istandwithsharjeelimam
#JamiaProtest #Jamia #JamiaProtestsCAB #RavishKumar #bbcnews #NDTV #aljazeera #SOSJamia #Delhi 
#JamiaProtest
#JamiaProtestsCAA
#IndiaAgainstCAA_NRC
#werejectnrc
#werejectcab
#indiarejectsnrc
#indiarejectscaa
#assamprotest
# https://t.co/fbw7iOwLw5",und,0,0,0,"['Istandwithsharjeelimam', 'JamiaProtest', 'Jamia', 'JamiaProtestsCAB', 'RavishKumar', 'bbcnews', 'NDTV', 'aljazeera', 'SOSJamia', 'Delhi', 'JamiaProtest', 'JamiaProtestsCAA', 'IndiaAgainstCAA_NRC', 'werejectnrc', 'werejectcab', 'indiarejectsnrc', 'indiarejectscaa', 'assamprotest']"
1221394522438959104,ilakkiyan30,2020-01-26T11:28:41+00:00,"பெண்கள் தலைமையில் நடக்கும் போராட்டங்கள் அனைத்தும் நிச்சயமாக வெற்றியை நோக்கி நகரும்..!!

வாழ்த்துகள்..!! @vikatan @ikamalhaasan
#WeAgainstCAB
#JAI_BHIM
#JamiaMiliacampus,
#JamiaProtestsCAB 
#CitizenshipAct
#WeOpposeCAB
#WeRejectCAB https://t.co/ihHv0W6sD8",ta,0,0,3,"['WeAgainstCAB', 'JAI_BHIM', 'JamiaMiliacampus', 'JamiaProtestsCAB', 'CitizenshipAct', 'WeOpposeCAB', 'WeRejectCAB']"
1219990543393935361,AfzaalRehmani,2020-01-22T14:29:46+00:00,"#Jabalpur
 #RejectCAA_NRC_NPR
#CAAProtests 
#NRC_CAA_Protest 
#amu
#jnu
#JNUProtests 
#NRC_CAA_Protest  #JamiaProtestsCAB 
#AMUAgainstCAB 
#JamiaMilia 
#cabprotests 
#jamia
#CABProtests 
@ndtvindia
@abpnewshindi 
@aajtak 
@DelhiPolice
@RahulGandhi
@PMOIndia https://t.co/c4yzJAnkpS",und,0,0,3,"['Jabalpur', 'RejectCAA_NRC_NPR', 'CAAProtests', 'NRC_CAA_Protest', 'amu', 'jnu', 'JNUProtests', 'NRC_CAA_Protest', 'JamiaProtestsCAB', 'AMUAgainstCAB', 'JamiaMilia', 'cabprotests', 'jamia', 'CABProtests']"
1219990375537860608,AfzaalRehmani,2020-01-22T14:29:06+00:00,"जबलपुर मै  सैकड़ों महिलाओं का NRC-CAA-NPR के काले कानून के खिलाफ का विरोध प्रदर्शन चालु हो गया है।
 #RejectCAA_NRC_NPR
इंक़लाब ज़िंदाबाद
#CAAProtests 
#NRC_CAA_Protest 
#amu
#jnu
#JNUProtests 
#NRC_CAA_Protest  #JamiaProtestsCAB 
#AMUAgainstCAB 
#JamiaMilia 
#CAAProtests 
#jamia https://t.co/2P1w23fi2t",hi,0,0,4,"['RejectCAA_NRC_NPR', 'CAAProtests', 'NRC_CAA_Protest', 'amu', 'jnu', 'JNUProtests', 'NRC_CAA_Protest', 'JamiaProtestsCAB', 'AMUAgainstCAB', 'JamiaMilia', 'CAAProtests', 'jamia']"
1219976796050841601,maasim1249,2020-01-22T13:35:08+00:00,#JamiaProtest #JamiaMilia #Jamia #JamiaMilliaIslamia #JamiaProtestsCAB #JNUProtests #JamiaStudents #jnuprotest #JNU #jihmp #CABProtest #CAB_नहीं_चलेगा #CABAgainstConstitution #CABEkDhokaHai #CAB_NRC #CABProvocation #jihmarkaz #DelhiProtests https://t.co/VcxVpsVGXS,und,0,0,1,"['JamiaProtest', 'JamiaMilia', 'Jamia', 'JamiaMilliaIslamia', 'JamiaProtestsCAB', 'JNUProtests', 'JamiaStudents', 'jnuprotest', 'JNU', 'jihmp', 'CABProtest', 'CAB_नहीं_चलेगा', 'CABAgainstConstitution', 'CABEkDhokaHai', 'CAB_NRC', 'CABProvocation', 'jihmarkaz', 'DelhiProtests']"
