tweet_id,user_name,date,content,language,reply_count,retweet_count,like_count,hashtags
1364058427257978880,RameshReddyHind,2021-02-23T03:44:06+00:00,"इस किसान बिल में वास्तव किसानों के खिलाफ कुछ भी नहीं है, जो सभी तरह से किसानों को फायदा पहुंचाता है। यह कांग्रेस और खालिस्तान आतंकवादियों द्वारा खेला जा रहा नाटक है।

सभी असली किसान मोदी @narendramodi जी के साथ हैं।

#FarmerProtestsHijacked 
#RealFarmersWithModi
#IndiaWithModi https://t.co/l5lbOUAkZX",hi,0,0,0,"['FarmerProtestsHijacked', 'RealFarmersWithModi', 'IndiaWithModi']"
1363843178344845314,adangamaru89,2021-02-22T13:28:47+00:00,"@srivatsayb #SouthRejectsCongress
#BoycottCongress
#realfarmerswithmodi
#BoycottCongress",und,0,0,0,"['SouthRejectsCongress', 'BoycottCongress', 'realfarmerswithmodi', 'BoycottCongress']"
1363720020329525249,sreeramjvc,2021-02-22T05:19:24+00:00,"These reports reiterate the fact that #farmlaws2020 would make our Kisan’s lives better. Laws &amp; reforms brought @narendramodi ji is going to be the turning point for Indian economy. Thanks to @kishanreddybjp Garu for sharing this. 🙏🙏
#RealFarmersWithModi #DoublingFarmersIncome https://t.co/wDA4ilaDl6",en,0,4,17,"['farmlaws2020', 'RealFarmersWithModi', 'DoublingFarmersIncome']"
1363093685529808899,adangamaru89,2021-02-20T11:50:34+00:00,"@satyakumar_y @AmitShah In the last 10 yrs in West Bengal -
Industry - 0
Development- 0
Health sector- 0
Women security - 0
Education - 0

Whereas

Corruption- 100/100
Tolabaji- 100/100
Syndicate raaj- 100/100
Cut-money - 100/100

#BanglaDidirThekeMuktiChay
#MamtaBegum
#realfarmerswithmodi",en,0,2,3,"['BanglaDidirThekeMuktiChay', 'MamtaBegum', 'realfarmerswithmodi']"
1362355720893595649,ToTheeePoint,2021-02-18T10:58:09+00:00,"Tough to say if there’s more crowd in Rail Roko Andolan by #KhalistaniTerrorists or in Pappu’s rallies 😝😝😝

#RealFarmersWithModi 
#AntiIndiaPlotExposed https://t.co/vNWLG23S98",en,0,13,10,"['KhalistaniTerrorists', 'RealFarmersWithModi', 'AntiIndiaPlotExposed']"
1362279653147254788,sreeramjvc,2021-02-18T05:55:53+00:00,"Cotton sowing starts in Haryana in a month. Work starts. Protest site would be empty from now onwards. #FarmBillGameChanger
#RealFarmersWithModi
 #FarmersProtestHijacked https://t.co/zax8xLzZYU",en,0,0,3,"['FarmBillGameChanger', 'RealFarmersWithModi', 'FarmersProtestHijacked']"
1361563831277740038,KarmaaaInstant,2021-02-16T06:31:28+00:00,@DetheEsha @narendramodi @JustinTrudeau @NIA_India @adgpi @majorgauravarya @MajorPoonia @TajinderBagga @MSBitta1 @PMOIndia @HMOIndia @DefenceMinIndia @IPS_Association @liberal_party @stephenharper @CPC_HQ @NDP @BJP4India @republic Sab bik chuke hai. They don't represent Farmers as #realfarmerswithmodi,en,0,1,0,['realfarmerswithmodi']
1360538681887526915,KarmaaaInstant,2021-02-13T10:37:54+00:00,"While an avg Farmer earns only a few thousands monthly, look at Rakesh Tikait &amp; VM Singh's wealth👇

SellOut Media made heroes out of them? Opposition sympathized with them? #KhalistaniTerrorists hid behind them to run their agenda?

#FarmersProtestHijacked
#realfarmerswithmodi https://t.co/ubiq8ZmiPg",en,1,28,8,"['KhalistaniTerrorists', 'FarmersProtestHijacked', 'realfarmerswithmodi']"
1360277330896121856,SwadeshiSamvad,2021-02-12T17:19:23+00:00,"@raghav4india @VikasMohanProAc @DeepakSharmaSJM @sharmankv @Deepakkhemani8 @8swadeshi @HopenWashchem @YKK082 @khemraj_bhatkar @JPSrivastav4 @LokutMokut @VipinDagur6 @NagavarmaM @apkalyanam @vishwakantnoida @Aravindsingh001 @MRVChennai @ashwani_mahajan @rmahajan25 @govindatripathi @against_FDI @Manvend59913658 @OrganicFoodCom1 @RahulTh85476593 @Poojamadan17 @imBnand @JPsrivastavaBJP @avanindra43 @VivMilano @BhardaManoj @bheemsen_kumar @Bhaskar20352437 @sunny_thakurOO7 @Vijayka01192514 @MansingRajput4 @Vikaschsjm @VikashS02016882 @brmsunion @Awadhikritikau1 @Yuvrajkk82 @Ashokshivazza @vpsbadnore @rashtrapatibhvn @Mrityun02359258 @KeyurAgrawal5 @Mevadadharmesh3 @kaushal_india @PiyushGoyal @NITIAayog 💮🌾 #स्वदेशी_स्वतंत्र_भारत 🌾💮
सौ. @rmahajan25
#Think_Global_Act_Local
#चाइना_मुक्त_स्वदेशी_भारत
#RealFarmersWithModi
#VocalForLocal
#MSP_Guarantee_Protection
#FarmersCallPMforDebate
#socialmediamarketing 
https://t.co/VFfU2Ep0pa
https://t.co/QhLRkAUUpa
https://t.co/jSHlYkkdHa",hi,1,9,9,"['स्वदेशी_स्वतंत्र_भारत', 'Think_Global_Act_Local', 'चाइना_मुक्त_स्वदेशी_भारत', 'RealFarmersWithModi', 'VocalForLocal', 'MSP_Guarantee_Protection', 'FarmersCallPMforDebate', 'socialmediamarketing']"
1359926872281214982,SwadeshiSamvad,2021-02-11T18:06:47+00:00,"@VikasMohanProAc @DeepakSharmaSJM @sharmankv @Deepakkhemani8 @8swadeshi @raghav4india @HopenWashchem @YKK082 @khemraj_bhatkar @JPSrivastav4 @LokutMokut @VipinDagur6 @NagavarmaM @apkalyanam @vishwakantnoida @Aravindsingh001 @MRVChennai @ashwani_mahajan @rmahajan25 @govindatripathi @against_FDI @Manvend59913658 @OrganicFoodCom1 @RahulTh85476593 @Poojamadan17 @imBnand @JPsrivastavaBJP @avanindra43 @VivMilano @BhardaManoj @bheemsen_kumar @Bhaskar20352437 @sunny_thakurOO7 @Vijayka01192514 @MansingRajput4 @Vikaschsjm @VikashS02016882 @brmsunion @Awadhikritikau1 @Yuvrajkk82 @Ashokshivazza @vpsbadnore @rashtrapatibhvn @Mrityun02359258 @KeyurAgrawal5 @Mevadadharmesh3 @kaushal_india @PiyushGoyal @NITIAayog 💮🌾 #स्वदेशी_स्वतंत्र_भारत 🌾💮
सौजन्य : @sharmankv
#Think_Global_Act_Local
#चाइना_मुक्त_स्वदेशी_भारत
#RealFarmersWithModi
#VocalForLocal
#MSP_Guarantee_Protection
#tractorparade #FarmersStandingFirm  
https://t.co/6zV04noto9
https://t.co/pVjr46myVp
https://t.co/v7qVRxIQGo",ne,1,3,1,"['स्वदेशी_स्वतंत्र_भारत', 'Think_Global_Act_Local', 'चाइना_मुक्त_स्वदेशी_भारत', 'RealFarmersWithModi', 'VocalForLocal', 'MSP_Guarantee_Protection', 'tractorparade', 'FarmersStandingFirm']"
