tweet_id,user_name,date,content,language,reply_count,retweet_count,like_count,hashtags
1494679905619128325,shrichandrajosh,2022-02-18T14:27:13+00:00,"@VaidehiTaman @priyankagandhi @RahulGandhi What is confusing ?A #SuitbootSarkar doesn't agree  free electricity to poor.
Amarinder was doing just that.",en,0,0,0,['SuitbootSarkar']
1492390055486246914,RagaTimes,2022-02-12T06:48:11+00:00,"@RahulGandhi #SuitBootSarkar ! 

https://t.co/apuHyw0ew1",und,0,7,14,['SuitBootSarkar']
1489312969955631104,mainoshree1,2022-02-03T19:00:56+00:00,"@MeghBulletin Are there no #MakeInIndia sweaters or warm clothing being given to these diplomats by the #SuitBootSarkar? 
The Mudi Sud Rejine
#MainoTweets",en,0,0,0,"['MakeInIndia', 'SuitBootSarkar', 'MainoTweets']"
1488749118470201344,Roshan32903432,2022-02-02T05:40:24+00:00,"@rohini_sgh @Virendrauptv Jinki Sarkar hai Unko Faida Pahunch a Zaroori hai Bhai, nahi toh laath maar k sarkar badal denge
@RahulGandhi was correct at this also #SuitBootSarkar #CronyCaptitalistGovernment budget 5 Saal ka tha but uske #achedin aane 25 years lagenge🤣",hi,0,0,0,"['SuitBootSarkar', 'CronyCaptitalistGovernment', 'achedin']"
1488418943778045954,CBN_isFuture,2022-02-01T07:48:24+00:00,"Diamond merchants from Gujarat is friendly to MoSha Govt 

They damm care about Middle Class, farmers and ordinary people 

#Fact 
#SuitbootSarkar",en,0,0,0,"['Fact', 'SuitbootSarkar']"
1481832508690165764,NaveenM5599,2022-01-14T03:36:15+00:00,"Has anyone ever seen being with People like this?? Neverrrrr

#SuitbootSarkar 
#RejectBJP https://t.co/WQ9gcwQ24A",en,0,0,2,"['SuitbootSarkar', 'RejectBJP']"
1476062728917712898,tatvamasi0,2021-12-29T05:29:13+00:00,@srinivasiyc @LtColAnilDuhoon @RoflGandhi_ #SuitBOOTsarkar https://t.co/pNLTpC9zE6,und,0,0,0,['SuitBOOTsarkar']
1475317205428367360,saran_the_boss,2021-12-27T04:06:46+00:00,@s_shreyatweets #Suitbootsarkar,und,0,0,1,['Suitbootsarkar']
1472628001112145923,tnprathapan,2021-12-19T18:00:50+00:00,"Indira Gandhi ji nationalised banks; Modi ji is privatising banks. Modi breaths for corporate greed. Wherever, whatever, whenever, he can privatise things, he definitely sniffs around and gets on it. 

#ModiHaiToMumkinHai #modilootsindia #humdohamaridosarkar #suitbootsarkar",en,0,1,5,"['ModiHaiToMumkinHai', 'modilootsindia', 'humdohamaridosarkar', 'suitbootsarkar']"
1471280600728289282,digvijaya_28,2021-12-16T00:46:44+00:00,"Liquid Currency in circulation has increased from ₹ 17.8 Lakh Crore in 2016 to ₹ 28 Lakh Crore in 2021 and growing!! 
Where is it? 
Swiss Bank accounts and deposits of Indians in Swiss Banks have increased in ModiShah regime. 

#अच्छे_दिन
#SuitBootSarkar
#BlackMoney https://t.co/HBoHnzkCcX",en,6,43,121,"['अच्छे_दिन', 'SuitBootSarkar', 'BlackMoney']"
1466295854344531968,N_i_t_h_i_n_,2021-12-02T06:39:08+00:00,"This #Govt works only for the #corporates
Stop selling #PSU #Banks 
#SuitBootSarkar
#BJPLootingIndia
#ModiSellingIndia https://t.co/YUOAZ3WVya",en,0,1,2,"['Govt', 'corporates', 'PSU', 'Banks', 'SuitBootSarkar', 'BJPLootingIndia', 'ModiSellingIndia']"
