username,id,displayname,followersCount,friendsCount,location
BJP4JnK,1864685238,BJP Jammu & Kashmir,86433,222,Jammu & Kashmir
GulabMatiala,2922933098,Gulab Singh,38727,716,"New Delhi, India"
guptaravinder71,2204739805,Ravinder Gupta 🇮🇳,23358,1234,"Karol Bagh, New Delhi"
MaheishGirri,425973946,Maheish Girri,133913,657,"New Delhi, India"
shweta_shalini,2366619296,Shweta Shalini,22684,374,Mumbai
vinaymishra_aap,136552596,Vinay Mishra (MLA-Dwarka),8895,209,"New Delhi, India"
rshuklabjp,750556490369564672,Rajendra Shukla,56667,151,"Govt of Madhya Pradesh, India"
ShobhaBJP,194653745,Shobha Karandlaje,305979,1204,Udupi/Chikmagalur/Delhi
ShatruganSinha,2338104343,Shatrughan Sinha,757291,18,India
JSTomarAAP,2304967231,Jitender Singh Tomar AAP,13715,347,"New Delhi, India"
raosahebdanve,2609425938,Raosaheb Patil Danve,163774,251,Maharashtra
amaragrawalBJP,2264136505,Amar Agrawal,15569,88,"Bilaspur, India"
VanathiBJP,974143844,Vanathi Srinivasan,239670,542,"Coimbatore, India"
AamAadmiParty,711694309,AAP,5928357,267,India
nan,14802766,"Nan Palmero, MBA",8983,5494,"San Antonio, TX"
SachinPilot,2410755840,Sachin Pilot,3753172,97,Jaipur
BJP4Manipur,753125213206970368,BJP Manipur,65039,52,
AapKaGopalRai,951833706,Gopal Rai,420947,124,"Civil Line Area, New Delhi"
NayakRagini,2331591042,Dr. Ragini Nayak,426927,802,"Delhi, India"
PemaKhanduBJP,755271973278711808,Pema Khandu པདྨ་མཁའ་འགྲོ་།,239042,551,"Itanagar, India"
RituKhanduriBJP,1028186624218288128,Ritu Khanduri Bhushan,2602,146,"Yamkeshwar, India"
BJP4Maharashtra,532895350,भाजपा महाराष्ट्र,456622,156,महाराष्ट्र
sujit_thakurmlc,725780019813842944,Sujitsingh Thakur,11296,383,Osmanabad Mumbai
Swamy39,60937837,Subramanian Swamy,10648751,111,New Delhi
ImranHussaain,3088262505,Imran Hussain,32380,121,India
MSBADAL,228496534,Manpreet Singh Badal,36734,132,Punjab
NupurSharmaBJP,1357567292,Nupur Sharma,383074,1134,India
mehtahansal,29385549,Hansal Mehta,141978,373,India
ArvindKejriwal,405427035,Arvind Kejriwal,24545248,225,India
ShaleenMitra,808451126,Shaleen,13428,292,"Muzaffarnagar, India"
BhagwantMann,170396389,Bhagwant Mann,640415,243,"Planing Board Building, SNG"
SuryahSG,46427326,SG Suryah,89296,767,"Tamil Nadu, India"
advakash,143804608,Akash Fundkar,8337,523,khamgaon
AAPUttarakhand,3299350784,Aam Aadmi Party Uttarakhand,37678,64,UTTARAKHAND 
bjpnareshbansal,1297926962,Naresh Bansal,1907,256,Dehradun
DrMNPandeyMP,2436708865,Dr. Mahendra Nath Pandey,451038,680,Chandauli
TigerRajaSingh,541511214,Raja Singh,423228,26,Bhagyanagar (Hyderabad)
rajeshgupta,1022155261,MLA Rajesh Gupta,17965,614,"MLA Wazirpur, New Delhi, India"
GautamGambhir,99448420,Gautam Gambhir,12280235,141,
M_Lekhi,373410448,Meenakashi Lekhi,1742908,406,Delhi
vinitgoenka,24353544,Vinit Goenka,47969,541,"नई दिल्ली, भारत"
bharatpandyabjp,443541186,Bharat Pandya,58273,272,Ahmedabad
HarishD_BJP,776685723906895872,Harish Dwivedi,83484,1613,"Basti, India"
Madhukeshwar,67854459,Madhukeshwar Desai,26817,984,India 
SharmaKhemchand,353225707,khemchand sharma #Brajwasi #RadheRadhe,46409,6825,"नई दिल्ली, भारत"
siddharthanbjp,1002444215651979264,Siddharthan,71412,185,"New Delhi, India"
pvssarma,296879864,PVS Sarma,11084,243,Surat-Delhi
ganeshjoshibjp,2318873012,Ganesh Joshi,25863,132,Dehradun
GirishVyasBJP,885193506662363136,Girish Vyas,3569,174,"Nagpur, India Mumbai"
v_shrivsatish,901132112,V Satish,159239,43,India
kumari_selja,991946118404730880,Kumari Selja,146530,119,"New Delhi, India"
nityanandraibjp,3098336425,Nityanand Rai,130439,355,"Bihar, India"
AlongImna,1014700512212541442,Temjen Imna Along,13449,349,"Ministers Hill,  Kohima"
VMBJP,78312924,V Muraleedharan / വി മുരളീധരൻ,84095,714,"Thiruvananthapuram, Keralam"
KunalChoudhary_,399437937,Kunal Choudhary,234611,870,"Bhopal, India"
BJPVinodSonkar,2436753176,Vinod Sonkar,59433,359,Kaushambi
rbsharmabjp,2572699674,Ram Bilas Sharma,94480,499,Mahendragarh
AnilShiroleBJP,2305992150,Anil Shirole,84620,497,"Pune , India"
RaajKumarAnand1,1110067202705649664,Raaj Kumar Anand AAP MLA,3300,733,"New Delhi, India"
BharatendraBJP,721327670563315712,Bharatendra Singh,2224,142,"Bijnor, India"
BJYM,53075131,BJYM,536282,127,New Delhi
kamalsharmabjp,1512642913,Kamal Sharma,8517,472,Ferozepur
Jaggesh2,1225924610,ನವರಸನಾಯಕ ಜಗ್ಗೇಶ್,761726,31,"Malleshwaram, Bangalore, India"
IYC_UPEast,2837608454,UP East Youth Congress,49763,396,"Uttar Pradesh, India"
RamvicharNetam,2586950894,Ramvichar Netam,20300,865,"Raipur, India"
INCIndia,1153045459,Congress,8462985,2348,"New Delhi, India"
drdhansinghuk,2706521196,Dr.Dhan Singh Rawat,32346,59,"Dehradun, India"
SatyendarJain,362506755,Satyendar Jain,256472,119,Delhi
INCHaryana,1882052538,Haryana Congress,134547,149,Haryana
AjayLalluINC,2860160384,Ajay Kumar Lallu,215830,562,Tamkuhi/Lucknow
BJP4UP,2220938808,BJP Uttar Pradesh,3358792,111,"Lucknow, India"
subhashbrala,1490368598,Subhash Barala,106958,313,Tohana/ Chandigarh
HarishKhuranna,1722800118,Harish Khurana,39416,816,Delhi
SbhagatBJP,3108133766,Sudarshan Bhagat,12263,379,"Gumla, India"
BJP4India,207809313,BJP,17942883,3,"6-A, Deen Dayal Upadhyay Marg,"
RahulGandhi,3171712086,Rahul Gandhi,20134497,279,"12, Tughlak Lane, New Delhi"
ombirlakota,190351028,Om Birla,552837,284,
srinivasiyc,576533046,Srinivas BV,502704,12146,India
BJP4Punjab,1848033674,BJP PUNJAB,73639,483,"Chandigarh, India"
BJP4Jharkhand,2807393784,BJP JHARKHAND,152390,200,RANCHI JHARKHAND
RahulSinhaBJP,3309660205,Rahul Sinha ● রাহুল সিনহা,86637,1266,পশ্চিমবঙ্গ
SushmaSwaraj,219617448,Sushma Swaraj,12950745,0,"New Delhi, India"
AjayTamtaBJP,749829178594193408,Ajay Tamta,24120,125,"Delhi, India"
AAPNareshBalyan,3283582405,MLA Naresh Balyan,33835,1248,
vikaskyogi,846897578,Vikas Yogi,56374,493,New Delhi
cpjoshiBJP,2676090294,C. P. Joshi,46498,364,Chittorgarh
KalrajMishra,254937160,कलराज मिश्र (Kalraj Mishra),337921,5,"Uttar Pradesh, India"
JPNadda,2990611686,Jagat Prakash Nadda,2774137,220,New Delhi
AshwiniBJP,2228272268,Ashwini Upadhyay,1659,161,"New Delhi, India"
VinodChavdaBJP,2309409103,Vinod Chavda 🇮🇳,120401,1596,"Bhuj, India"
ShahnawazBJP,350128848,Syed Shahnawaz Hussain,1918294,1057,"New Delhi, India"
mepratap,113568312,Pratap Simha,361243,926,Mysuru-Kodagu(Coorg) 
Virenderbjp,741220385773883392,Virender Kashyap,5012,331,Shimla
BJPSanjayJoshi,1664992976,Sanjay Vinayak Joshi,58115,1240,India
mukeshpatelmla,409218445,Mukesh Patel,19073,1385,Surat Gujarat
AjitSinghRathi,798149658283388928,Ajit Singh Rathi,2168,39,"Dehradun, India"
rakeshshahMLA,1210663754,Rakesh Shah,15251,102,"Ahmadabad City, India"
